Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4554,21906,5.222423035451849,69832.0,3.0,1
0.4314,634,2.46758678377248,65655.0,3.0,1
0.4176,260,3.5264483627204033,57083.0,2.0,0
0.4714,3438,4.44793679171833,82294.0,4.0,1
0.418,123,2.248062015503876,69637.0,3.0,1
0.3873,257,2.883435582822086,71027.0,3.0,1
0.4243,2206,3.584229390681003,55938.0,2.0,0
0.448,12349,4.524462133443472,106128.0,4.0,1
0.4531,7581,6.495538546115787,74928.0,4.0,1
0.433,4623,6.569188387370206,59020.0,2.0,0
0.4402,2472,4.422700587084149,67288.0,3.0,1
0.4478,21843,6.262049000829782,66313.0,3.0,1
0.4498,3499,4.8773558102093,63232.0,3.0,1
0.4206,4208,4.296987777884708,58914.0,2.0,0
0.3919,2693,3.7468846365057242,74011.0,4.0,1
0.4249,3654,8.012274122059324,61250.0,2.0,0
0.4439,5427,5.393675027262813,90665.0,4.0,1
0.4435,14626,6.0795578503381575,102495.0,4.0,1
0.4518,3235,7.1634045913475095,52473.0,1.0,0
0.4848,4412,11.801429108687476,49023.0,1.0,0
0.4447,6700,10.63901251154589,51369.0,1.0,0
0.4685,2220,7.978545088836741,49926.0,1.0,0
0.4789,4085,11.609938053686806,51015.0,1.0,0
0.4504,6690,5.979694679116644,77681.0,4.0,1
0.5036,4007,5.88235294117647,49850.0,1.0,0
0.4564,1580,9.143794749403341,45938.0,1.0,0
0.4939,1414,8.493664946034725,41794.0,1.0,0
0.4769,2667,7.584376185058779,48949.0,1.0,0
0.3831,342,6.684350132625995,58894.0,2.0,0
0.3862,410,2.016302016302016,69847.0,3.0,1
0.5013,328,2.029191883232467,54095.0,2.0,0
0.4683,685,1.071080817916261,63269.0,3.0,1
0.4199,4936,3.2252384174088733,78160.0,4.0,1
0.5018,290,3.5116153430578065,64390.0,3.0,1
0.4085,466,0.7803790412486065,70213.0,3.0,1
0.5167,725,5.826558265582656,84004.0,4.0,1
0.463,352,22.11170619739862,49479.0,1.0,0
0.421,497,2.1104577908441833,92083.0,4.0,1
0.4543,189,3.1698113207547167,68906.0,3.0,1
0.4598,290,0.7303370786516854,72750.0,4.0,1
0.4824,687,3.08936170212766,68841.0,3.0,1
0.3899,712,1.7124735729386893,63033.0,3.0,1
0.4445,736,2.983567428623887,68986.0,3.0,1
0.5358,170,0.3073770491803279,66406.0,3.0,1
0.3796,179,1.6184971098265895,80278.0,4.0,1
0.4337,599,0.79155672823219,64297.0,3.0,1
0.4471,732,6.842105263157896,58365.0,2.0,0
0.3992,767,1.5433320142461415,72500.0,4.0,1
0.4745,502,3.192142418661756,68616.0,3.0,1
0.4048,5743,5.562258687258687,67149.0,3.0,1
0.4295,3028,10.290827740492169,55366.0,2.0,0
0.4974,138375,10.189188660419072,58061.0,2.0,0
0.4484,6330,4.866024464200994,76199.0,4.0,1
0.4406,5860,9.799685781618225,56578.0,2.0,0
0.465,24184,9.809045759966004,58552.0,2.0,0
0.4194,703,2.7669386307201136,71970.0,4.0,1
0.4174,853,3.178360101437024,57433.0,2.0,0
0.4171,698,1.2404787812840044,74107.0,4.0,1
0.4053,629,1.2061167348696964,64808.0,3.0,1
0.4187,352,2.036094400740398,63225.0,3.0,1
0.4309,577,2.778282186308335,77892.0,4.0,1
0.4144,1231,3.7189103829451247,62540.0,3.0,1
0.4097,345,0.19607843137254902,56707.0,2.0,0
0.4108,44,0.0,69250.0,3.0,1
0.4803,321,3.296703296703297,59737.0,2.0,0
0.411,273,2.8910529519172243,74306.0,4.0,1
0.4459,462,1.7310252996005324,69744.0,3.0,1
0.4112,1089,7.189802828121889,66103.0,3.0,1
0.4382,3629,5.151789759855007,74741.0,4.0,1
0.4214,546,6.991720331186753,58819.0,2.0,0
0.3971,424,0.0,90486.0,4.0,1
0.3659,1222,5.290594498669033,80000.0,4.0,1
0.3983,996,3.840084166228301,72517.0,4.0,1
0.3866,3662,4.537661863943097,87262.0,4.0,1
0.4194,3671,9.374424458223341,56150.0,2.0,0
0.4175,325,4.312823461759632,69327.0,3.0,1
0.4614,120602,7.2380263811162475,66968.0,3.0,1
0.3962,2642,8.660402461333778,65817.0,3.0,1
0.4563,5132,3.810595899597624,79970.0,4.0,1
0.4773,17834,3.360162214727608,80823.0,4.0,1
0.4199,11048,3.727212094264117,107840.0,4.0,1
0.4179,4869,3.730635472652545,74139.0,4.0,1
0.4299,10955,4.347215424230172,95860.0,4.0,1
0.4356,7806,5.638097709725557,60967.0,2.0,0
0.4503,19852,3.6405886909372582,71718.0,4.0,1
0.4999,14808,6.756310499267301,102150.0,4.0,1
0.4512,5821,7.262438104220703,63274.0,3.0,1
0.4566,9197,4.477488595543997,134849.0,4.0,1
0.4506,56805,5.892545115486836,84999.0,4.0,1
0.4615,28113,9.56611834168358,74919.0,4.0,1
0.4319,16367,5.640792963841966,102797.0,4.0,1
0.4469,3736,7.336784947594394,84323.0,4.0,1
0.4809,59253,7.741277199831422,78523.0,4.0,1
0.4693,18855,7.085984571203334,84894.0,4.0,1
0.4973,12929,6.307829300625327,91381.0,4.0,1
0.5049,24233,6.05282592293398,70412.0,3.0,1
0.4335,2958,3.956069397618255,140904.0,4.0,1
0.4579,11482,4.71506971117055,135938.0,4.0,1
0.4806,693,9.192692987625222,51964.0,1.0,0
